0,0,2,0
0,1,2,1
0,2,2,2
0,3,2,3
0,4,2,4
0,5,2,5
0,6,2,6
0,7,2,7
0,8,2,8
0,9,2,9
0,10,2,10
0,11,2,11
0,12,2,12
0,13,2,13
0,14,2,14
0,15,2,15
0,16,2,16
0,17,2,17
0,18,2,18
0,19,2,19
0,20,2,20
0,21,2,21
0,22,2,22
0,23,2,23
0,24,2,24
0,25,2,25
0,26,2,26
0,27,2,27
0,28,2,28
0,29,2,29
0,30,2,30
0,31,2,31
1,0,3,0
1,1,3,1
1,2,3,2
1,3,3,3
1,4,3,4
1,5,3,5
1,6,3,6
1,7,3,7
1,8,3,8
1,9,3,9
1,10,3,10
1,11,3,11
1,12,3,12
1,13,3,13
1,14,3,14
1,15,3,15
1,16,3,16
1,17,3,17
1,18,3,18
1,19,3,19
1,20,3,20
1,21,3,21
1,22,3,22
1,23,3,23
1,24,3,24
1,25,3,25
1,26,3,26
1,27,3,27
1,28,3,28
1,29,3,29
1,30,3,30
1,31,3,31
19,0,20,0
19,1,20,1
19,2,20,2
19,3,20,3
19,4,20,4
19,5,20,5
19,6,20,6
19,7,20,7
19,8,20,8
19,9,20,9
19,10,20,10
19,11,20,11
19,12,20,12
19,13,20,13
19,14,20,14
19,15,20,15
19,16,20,16
19,17,20,17
19,18,20,18
19,19,20,19
19,20,20,20
19,21,20,21
19,22,20,22
19,23,20,23
19,24,20,24
19,25,20,25
19,26,20,26
19,27,20,27
19,28,20,28
19,29,20,29
19,30,20,30
19,31,20,31
2,0,4,0
2,2,5,0
2,4,6,0
2,6,7,0
2,8,8,0
2,10,9,0
2,12,10,0
2,14,11,0
2,16,12,0
2,18,13,0
2,20,14,0
2,22,15,0
2,24,16,0
2,26,17,0
2,28,18,0
2,30,19,0
52,0,0,32
20,0,21,0
20,1,22,0
20,2,23,0
20,3,24,0
20,4,25,0
20,5,26,0
20,6,27,0
20,7,28,0
20,8,29,0
20,9,30,0
20,10,31,0
20,11,32,0
20,12,33,0
20,13,34,0
20,14,35,0
20,15,36,0
20,16,37,0
20,17,38,0
20,18,39,0
20,19,40,0
20,20,41,0
